rating,text,title
1,"i Bought this around black friday for $60 hoping it would be awesome... it failed so hard i tried multiple different micro SD cards none of which were recognized and YES i formated them with every format i could think of ... Fat32, NTFS, Fat, Xfat... i even tried to have the tablet do it... didnt work... to make matters worse half the apps i wanted to use werent in the app store and i came to find out that it isnt linked to the normal google play store this tablet has its own app store which is missing many common apps... the main reason i bought this was to play clash of clans and i cant because it wasnt on the app store... i tried to also use aftermarket play stores to play COC but it didnt work... launched and played 1 time but didnt work or update after that... needless to say i returned it and bought a $250 samsung galaxy tab A 10.1 (2016 version) with S-pen and its WAYYYYY better... bottom line you get what you pay for... also hint the s-pen version has an extra 1 GB of ram over the non pen version... so you should get that if you can afford the extra $50...",TERRIBLE DONT BUY
1,I bought this tablet for my 4 year old daughter. Too many advertisements. I would rather pay more and not have a single ad.,Ended up returning
1,Didn't want to go to the sites amazon wanted me to.,returned item
1,"This Kindle is so overloaded with apps that I will never use. Despite what one of Best Buys' associates said, you cannot remove any of the Amazon apps. The apps take up too much of the memory. I have an I Pad and love but bought this as a backup for work. Unfortunately, it bogs down. I also don't like that Amazon wants access to too much info to set up email, so I won't use this for emails either. I will likely sell it on Craig's List for less than half of what I paid for it.",Too may preloaded useless apps
1,I liked it at first except the browser is kind of clunky. Also you can. It use all android Apps. The worst thing though was mine just stopped working in the middle of watching a movie on a long plane flight. It was fully charged. I have tried recharging and turning on etc. it is just a blank screen and off. Kind of a cool paperweight. Hope I can get my money back. Or get a new one.,Broke in 5 mos
1,"If ads dont bother you, then this may be a decent device. Purchased this for my kid and it was loaded down with so much spam, it kept loading it up making it slow and laggy. Plus the carrasoul loadout makes it hard to navigate for kids, not very kid friendly! Oh you can pay $15 to remove the ads but it wont remove them all. Buy the samsung, better everything!",Ads ads and ads
1,"not good, hate it , never buy it again, sucks. done",hate it
1,This is not a bad product. Amazon offers greats products but this tablet was missing features even for a basic tablet. The lack of google chrome compatibility made this tablet not right for me.,More ideal for a child or teen.
1,We bought this earlier on line from another vendor and it was never delivered. Best Buy was great.,product works real well.
1,Freeze frequently... No way to trouble shoot or repair it...,Very poor.
1,"I went with this tablet based on many good customer reviews, but my experience was not a good one. From the start I was on the phone every day for at least an hour with Amazon tech support for one issue or another. Most of the techs were very polite, but not all knew the product very well. At one point I asked one of them about trying to save some RAM and they kept referring me to the storage, which told me they didn't even know the difference between RAM and regular storage. The internet browser was basic and it ran very slow at times, even when all my other wifi devices ran great. Then a day would pass and I'd be trying to type an email and the keyboard would just stop working...wtf??? Come to find out it's a ""known issue"" and ""they're working on it"". After two weeks of one thing after another I got fed up and just returned it. I wanted it to work, and gave it a good run, but just not quality stuff. To me it was like Walmart trying to build their own computer when they're obviously not a computer manufacturer, neither is Amazon. If I were you I'd look at a regular Android tablet from a reputable PC manufacturer, which is exactly what I did next. I got an ASUS tablet for only a few dollars more, and it's unbelievable. 1000% better in comparison to the Amazon Fire HD8. Save yourself the aggravation and go with ASUS or some other company that is specifically in the computer business full time. Sorry Amazon, not this time!",NOT WORTH IT
1,This thing lasted not even a month before it went dead. Going to try and take it back,dead
1,"Worked great but after awhile I wouldn't unlock. After I'd enter my pin, the screen would go black. I took it to geek squad (luckily I bought the protection plan!) and told me they don't fix them they just replace them. So I got another one but that one did the exact same thing. Ended up returning that one too.",Won't unlock
1,I bought the kindle fire 8 for my husband and I to use. Neither one of us have been able to figure out how to use it. Every time we open it advertisements pop up. And we just try buttons to remove it. We cannot get it to rotate for our puzzles. Just too complicated to use and to navigate around. I will be returning it. We have an iPad and it's much easier.,Unable to use it
1,I am bring it back for an exchange. (a different make),"8"" fire 16gb tablet"
1,I brought this tablet during the Black Friday sale fast forward to Christmas when my 6 year opens it he was happy I set it up for him two days later it crashed never came back on. Blank screen. He was disappointed and so was I .,Poor quality tablet
1,horrible...just like the other 7 i have owned ONLY due to warranties,non functional!!!
1,Does not let me connect with my library. Very diapointed,App options pathetic
1,"I have only had this Amazon Fire Hd8 since December 6, 2016 and it has already quit charging.",Quit charging
1,"If adding more than one child to the account, the screen will not rotate properly for the second, third, or fourth child. Geek squad could not fix this problem, seems to be a manufacturer's issue. Also, there are too many adds. I returned this product.",Does not work well for multiple children
1,It was on a total of an hour and a half when the screen went completely dark. Would not turn on after that. The battery was fine....It just quit working all together.,1.5 hours
1,I bought this on line as a gift. The unit does not stay on and I cannot get in touch with anyone to get the unit repaired,Doesn't stay on
